id,title,artist_id,genre,year
151,emails i can't send fwd:,1,Pop,2023
152,Manchild - Single,1,Pop,2025
153,Eyes Wide Open,1,Pop,2014
154,Short n' Sweet (Deluxe),2,Pop,2024
155,emails i can’t send fwd:,1,Pop,2023
156,The Life of a Showgirl,19,Pop,2025
157,A Nonsense Christmas - Single,1,Pop,2022
158,Honeymoon Fades - Single,1,Pop,2020
159,fruitcake - EP,1,Holiday,2023
160,Alien - Single,35,Pop,2018
161,Warmer In The Winter (Deluxe Edition),36,Holiday,2017
162,WOW (Remix) [feat. Sabrina Carpenter] - Single,37,Pop,2020
163,Smoke and Fire - Single,1,Pop,2016
164,The Secret of Us,3,Pop,2024
165,"I miss you, I’m sorry - Single",3,Pop,2020
166,The Secret of Us (Deluxe),3,Pop,2024
167,Good Riddance,3,Pop,2023
168,"Everywhere, Everything - Single",4,Alternative,2023
169,21 - Single,3,Pop,2020
170,Mess It Up - Single,3,Pop,2021
171,Stay - Single,3,Pop,2019
172,Mean It - Single,3,Alternative,2019
173,minor,3,Pop,2020
174,Feels Like - Single,3,Pop,2021
175,I Said I Love You First,5,Pop,2025
176,Brush Fire - Single,3,Pop,2020
177,Good Riddance (Deluxe),3,Pop,2022
178,This Is What It Feels Like,3,Pop,2021
179,Block me out - Single,3,Pop,2023
180,Stick Season (Forever),4,Alternative,2023
181,Pink Pony Club - Single,6,Pop,2020
182,"Good Luck, Babe! - Single",6,Pop,2024
183,The Rise and Fall of a Midwest Princess,6,Pop,2023
184,The Giver - Single,6,Country,2025
185,Love Me Anyway - Single,6,Pop,2020
186,School Nights - Single,6,Alternative,2018
187,School Nights - EP,6,Alternative,2017
188,Bitter - Single,6,Alternative,2018
189,Spring Vibes 2025,6,Pop,2024
190,Kaleidoscope - Single,6,Pop,2023
191,The Subway - Single,6,Pop,2025
192,Top Hits pra você curtir em 2025,6,Pop,2020
193,My Kink Is Karma - Single,6,Pop,2022
194,Chart Hits Deutschland 2025,6,Pop,2024
195,Arbeitsmusik 2025,6,Pop,2023
196,Demure Friday,6,Pop,2023
197,Pop Anglo Que No Saldrá de Tu Cabeza,6,Pop,2020
198,California - Single,6,Pop,2020
199,VSQ Performs the Hits Of 2024,38,Classical Crossover,2024
200,2024 Megamix (DJ Mix),6,Pop,2024
201,Today's Hits: November 2024 (DJ Mix),6,Pop,2024
202,hopeless fountain kingdom (Deluxe),7,Alternative,2017
203,Collage - EP,8,Dance,2016
204,FRIENDS KEEP SECRETS,9,Pop,2018
205,Manic,7,Alternative,2019
206,Badlands (Decade Edition Anthology),7,Alternative,2015
207,Vol. II,7,Alternative,2020
208,BADLANDS (Deluxe Edition),7,Alternative,2015
209,kelsea,10,Country,2020
210,Be Kind - Single,11,Dance,2020
211,MAP OF THE SOUL : PERSONA,12,K-Pop,2019
212,Sing 2 (Original Motion Picture Soundtrack),7,Soundtrack,2021
213,Eastside (Acoustic) - Single,9,Pop,2018
214,Chill Mood,9,Pop,2018
215,Alone (feat. Big Sean & Stefflon Don) - Single,7,Alternative,2017
216,So Good - Single,7,Alternative,2022
217,Purpose (Deluxe),39,Pop,2015
218,Vol. I,7,Alternative,2020
219,Closer (feat. Halsey) [Remixes] - EP,8,Dance,2016
220,MAP OF THE SOUL : 7,12,K-Pop,2019
221,Fifty Shades Darker (Original Motion Picture Soundtrack),7,Soundtrack,2017
222,So Close To What,13,Pop,2025
